,NAME,,dob,,phone,,plan_id,,
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Dahlia Snow,"','",1997-11-03,"','",9808295841,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Dahlia Snow','1997-11-03','9808295841','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Paityn Powell,"','",1980-06-02,"','",9438277970,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Paityn Powell','1980-06-02','9438277970','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Keyon Kane,"','",1999-02-16,"','",7985650737,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Keyon Kane','1999-02-16','7985650737','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Alexander Cowan,"','",1978-08-03,"','",8768456974,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Alexander Cowan','1978-08-03','8768456974','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Mckenna Arroyo,"','",1977-02-16,"','",6439332435,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Mckenna Arroyo','1977-02-16','6439332435','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Cristian Montgomery,"','",1991-04-14,"','",9105786267,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Cristian Montgomery','1991-04-14','9105786267','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Cristopher Weber,"','",1981-04-28,"','",6807423685,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Cristopher Weber','1981-04-28','6807423685','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Henry Chase,"','",1983-02-10,"','",8310785529,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Henry Chase','1983-02-10','8310785529','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Maddison Noble,"','",1985-05-07,"','",9883441269,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Maddison Noble','1985-05-07','9883441269','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Laila Conley,"','",1981-06-20,"','",7579612511,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Laila Conley','1981-06-20','7579612511','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Johnathon Hull,"','",1995-05-13,"','",8951585645,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Johnathon Hull','1995-05-13','8951585645','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Wesley Davidson,"','",1994-08-01,"','",7321984972,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Wesley Davidson','1994-08-01','7321984972','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Imani Austin,"','",1999-05-28,"','",9855651216,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Imani Austin','1999-05-28','9855651216','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Hannah Paul,"','",1976-01-07,"','",7948202106,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Hannah Paul','1976-01-07','7948202106','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Aden Sampson,"','",2002-08-06,"','",7821724985,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Aden Sampson','2002-08-06','7821724985','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Claire Huerta,"','",1991-07-03,"','",8179678744,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Claire Huerta','1991-07-03','8179678744','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Rachael Snow,"','",1987-04-26,"','",7197520790,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Rachael Snow','1987-04-26','7197520790','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Javion Wilcox,"','",1970-08-08,"','",7275059762,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Javion Wilcox','1970-08-08','7275059762','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Reagan Cantrell,"','",1983-08-19,"','",9316628376,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Reagan Cantrell','1983-08-19','9316628376','INT600' );"
"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('",Andreas Lewis,"','",1995-07-28,"','",9560845489,"','",INT600', );,"INSERT INTO webapp_userdetails(user_name, dob, phone, plan_id) VALUES('Andreas Lewis','1995-07-28','9560845489','INT600' );"
